Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
057_BS_GL	2747	0.969	684.515	24.919%	96.081	24.877%	0.07956	0.934
057_SU_T1-R1	4976	0.95	1379.809	27.729%	198.859	32.175%	0.07401	0.856
057_SU_T1-R2	6816	0.923	2421.652	35.529%	359.351	41.58%	0.11284	0.815
058_BS_GL	2731	0.972	623.401	22.827%	90.073	23.521%	0.05629	0.941
058_SU_T1-R1	7299	0.966	1862.567	25.518%	279.516	26.332%	0.06066	0.934
058_SU_T1-R2	10071	0.96	2646.075	26.274%	426.687	29.048%	0.06568	0.925
059_SU_T1-R1	1851	0.971	459.459	24.822%	66.849	25.002%	0.06709	0.947
059_SU_T1-R2	1658	0.944	509.872	30.752%	78.429	33.413%	0.0912	0.884
065_BS_GL	1839	0.95	542.469	29.498%	79.09	31.377%	0.07684	0.884
065_SU_T1-R1	14910	0.98	3096.88	20.77%	429.069	20.249%	0.04328	0.959
065_SU_T1-R2	14106	0.979	2925.905	20.742%	416.132	20.676%	0.04242	0.957
065_SU_T1-R3	8057	0.959	2200.805	27.315%	317.023	28.687%	0.06555	0.91
065_SU_T1-R4	10236	0.957	2707.647	26.452%	411.351	29.363%	0.0643	0.906
065_SU_T1-R5	11084	0.964	2898.61	26.151%	414.8	26.844%	0.05657	0.922
065_SU_T1-R6	12949	0.981	2642.957	20.411%	358.991	19.583%	0.04023	0.961
065_SU_T1-R7	2637	0.967	607.205	23.026%	88.164	25.491%	0.0572	0.916
066_SU_T1-R1	7955	0.98	1623.707	20.411%	231.032	20.258%	0.0475	0.96
066_SU_T1-R2	6582	0.98	1383.973	21.027%	190.014	20.498%	0.04164	0.959
080_BS_GL	6298	0.978	1355.639	21.525%	190.727	20.804%	0.05111	0.958
081_BS_GL	2428	0.974	527.271	21.716%	79.011	23.051%	0.05985	0.946
081_SU_T1-R1	3006	0.978	641.149	21.329%	87.808	21.312%	0.04908	0.95
081_SU_T1-R5	3355	0.956	956.185	28.5%	135.161	30.222%	0.07114	0.899
081_SU_T1-R6	3568	0.971	869.299	24.364%	122.262	24.43%	0.0652	0.942
082_BS_GL	4060	0.972	959.241	23.627%	136.271	24.262%	0.05761	0.941
082_SU_T1-R1	10625	0.96	2971.846	27.97%	442.778	29.375%	0.0718	0.921
082_SU_T1-R2	7664	0.955	2200.342	28.71%	325.823	30.15%	0.07689	0.907
082_SU_T1-R3	3606	0.945	1126.055	31.227%	166.226	34.65%	0.09465	0.879
082_SU_T1-R4	8486	0.974	1980.217	23.335%	288.951	23.963%	0.05608	0.951
082_SU_T1-R5	2705	0.963	725.309	26.814%	98.47	27.891%	0.06391	0.91
099_BS_GL	4706	0.974	1168.707	24.834%	160.267	22.984%	0.05445	0.951
099_SU_T1-R4	2267	0.974	540.828	23.857%	70.616	22.979%	0.06147	0.94
099_SU_T1-R5	3490	0.978	745.389	21.358%	107.747	21.3%	0.04369	0.956
099_SU_T1-R6	3071	0.979	656.043	21.363%	87.926	20.622%	0.05373	0.955
099_SU_T1-R7	2923	0.916	1023.65	35.021%	163.664	41.007%	0.12084	0.811
100_BS_GL	6035	0.977	1425.521	23.621%	193.514	21.741%	0.05395	0.956
100_SU_T1-R1	14891	0.973	3547.334	23.822%	513.804	23.936%	0.05351	0.948
100_SU_T1-R2	14772	0.97	3631.087	24.581%	539.15	25.051%	0.05805	0.942
100_SU_T1-R3	9041	0.968	2291.46	25.345%	333.121	25.767%	0.06113	0.936
