NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
56	754.135	14.176	106.394	14.228	0.022	0.975	0.0
57	757.659	14.042	105.381	13.936	0.021	0.976	0.0
58	777.201	14.539	108.213	14.374	0.022	0.974	0.0
59	768.265	14.174	107.237	14.113	0.021	0.975	0.0
60	759.871	14.072	106.975	14.16	0.021	0.975	0.0
61	785.423	14.463	109.573	14.366	0.022	0.975	0.0
62	749.324	14.125	104.305	13.944	0.021	0.976	0.0
63	771.187	14.201	107.383	14.072	0.021	0.976	0.0
64	763.068	14.234	105.84	14.042	0.022	0.976	0.0
65	768.342	14.241	107.339	14.119	0.022	0.976	0.0
66	776.397	14.289	107.865	14.147	0.022	0.975	0.0
67	775.835	14.352	107.796	14.205	0.022	0.975	0.0
68	773.021	14.441	107.059	14.219	0.022	0.975	0.0
69	765.875	14.112	106.313	13.909	0.021	0.976	0.0
70	776.42	14.289	108.601	14.253	0.022	0.975	0.0
71	772.563	14.263	108.133	14.129	0.021	0.976	0.0
72	767.023	14.239	107.46	14.185	0.021	0.975	0.0
73	774.471	14.387	107.883	14.284	0.022	0.974	0.0
74	755.093	14.168	105.864	14.125	0.021	0.975	0.0
75	769.164	14.205	107.716	14.192	0.021	0.975	0.0
76	779.135	14.477	109.528	14.421	0.022	0.974	0.0
77	773.16	14.3	108.311	14.225	0.022	0.975	0.0
78	760.851	14.144	106.584	14.018	0.021	0.976	0.0
79	769.372	14.379	106.628	14.258	0.022	0.975	0.0
80	774.105	14.129	107.774	14.01	0.021	0.976	0.0
81	784.815	14.541	110.115	14.47	0.022	0.974	0.0
82	770.197	14.295	105.758	14.076	0.022	0.975	0.0
83	778.621	14.367	109.335	14.302	0.022	0.975	0.0
84	752.148	13.916	105.523	13.972	0.021	0.976	0.0
85	763.977	14.259	106.857	14.233	0.022	0.975	0.0
86	762.245	14.206	106.383	14.13	0.022	0.975	0.0
87	785.049	14.683	109.289	14.543	0.023	0.974	0.0
88	762.702	14.162	106.457	14.124	0.021	0.975	0.0
89	766.423	14.11	106.781	13.939	0.021	0.976	0.0
90	758.952	14.058	105.473	13.934	0.021	0.976	0.0
91	763.706	14.103	106.698	13.99	0.021	0.976	0.0
92	764.23	14.145	106.043	13.966	0.021	0.976	0.0
93	767.394	14.33	106.673	14.213	0.022	0.974	0.0
94	770.786	14.333	106.989	14.2	0.022	0.975	0.0
95	765.624	14.323	108.05	14.244	0.022	0.975	0.0
96	754.71	14.024	105.929	13.934	0.021	0.976	0.0
97	764.344	14.072	106.207	13.982	0.021	0.976	0.0
98	769.248	14.165	107.496	14.091	0.021	0.975	0.0
99	773.045	14.311	107.122	14.08	0.022	0.976	0.0
100	773.175	14.339	108.075	14.213	0.022	0.975	0.0
