Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
065_BS_GLfiltered	1839	0.982	345.282	18.776%	48.051	19.063%	0.03448	0.96
065_SU_T1-R1filtered	14910	0.999	577.312	3.872%	77.562	3.66%	0.00142	0.999
065_SU_T1-R2filtered	14106	0.999	711.123	5.041%	95.487	4.744%	0.00192	0.998
065_SU_T1-R3filtered	8057	0.997	599.17	7.437%	84.542	7.65%	0.00517	0.993
065_SU_T1-R4filtered	10236	0.998	632.345	6.178%	89.877	6.416%	0.0038	0.995
065_SU_T1-R5filtered	11084	0.999	618.985	5.584%	83.178	5.383%	0.00305	0.997
065_SU_T1-R6filtered	12949	0.999	623.395	4.814%	86.148	4.699%	0.00202	0.998
065_SU_T1-R7filtered	2637	0.987	421.51	15.984%	56.461	16.325%	0.02515	0.966
066_SU_T1-R1filtered	7955	0.996	720.778	9.061%	107.479	9.424%	0.0088	0.991
066_SU_T1-R2filtered	6582	0.994	684.376	10.398%	105.548	11.386%	0.01117	0.986
080_BS_GLfiltered	6298	0.993	721.543	11.457%	105.121	11.466%	0.01192	0.987
081_BS_GLfiltered	2428	0.989	369.743	15.228%	51.964	15.16%	0.02306	0.976
081_SU_T1-R1filtered	3006	0.99	420.779	13.998%	59.397	14.416%	0.01965	0.976
081_SU_T1-R5filtered	3355	0.991	431.606	12.865%	59.617	13.33%	0.01441	0.979
081_SU_T1-R6filtered	3568	0.992	462.677	12.967%	63.281	12.645%	0.014	0.983
082_BS_GL	4060	0.986	600.917	14.801%	92.138	16.404%	0.02197	0.97
082_SU_T1-R1filtered	10625	0.998	736.28	6.93%	99.479	6.6%	0.00456	0.996
082_SU_T1-R2filtered	7664	0.997	617.245	8.054%	86.493	8.004%	0.00585	0.993
082_SU_T1-R3filtered	3606	0.987	524.036	14.532%	76.624	15.972%	0.02005	0.969
082_SU_T1-R4filtered	8486	0.996	714.336	8.418%	112.983	9.37%	0.00633	0.991
082_SU_T1-R5filtered	2705	0.988	394.693	14.591%	53.813	15.242%	0.02134	0.97
099_BS_GLfiltered	4706	0.996	470.309	9.994%	64.982	9.319%	0.00984	0.992
099_SU_T1-R4filtered	2267	0.986	377.033	16.631%	52.077	16.946%	0.02586	0.966
099_SU_T1-R5filtered	3490	0.994	425.569	12.194%	54.153	10.705%	0.01311	0.989
099_SU_T1-R6filtered	3071	0.979	548.599	17.864%	85.894	20.145%	0.03459	0.955
099_SU_T1-R7filtered	2923	0.986	457.258	15.643%	66.557	16.676%	0.02241	0.968
100_BS_GLfiltered	6035	0.995	652.115	10.806%	90.182	10.132%	0.01128	0.99
100_SU_T1-R1filtered	14891	0.998	901.991	6.057%	120.544	5.616%	0.00416	0.997
100_SU_T1-R2filtered	14772	0.998	933.714	6.321%	140.344	6.521%	0.00487	0.996
100_SU_T1-R3filtered	9041	0.996	852.338	9.427%	117.33	9.075%	0.00731	0.992
