NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
54	794.19	14.837	111.073	14.841	0.024	0.972	0.0
55	804.605	15.039	112.802	14.987	0.024	0.972	0.0
56	782.553	14.691	110.386	14.754	0.023	0.973	0.0
57	790.18	14.697	110.486	14.63	0.023	0.974	0.0
58	800.808	14.955	112.14	14.885	0.024	0.972	0.0
59	801.158	14.812	111.997	14.822	0.023	0.972	0.0
60	786.54	14.646	111.532	14.839	0.023	0.972	0.0
61	818.216	15.13	114.383	15.069	0.024	0.972	0.0
62	780.451	14.735	108.728	14.572	0.024	0.973	0.0
63	805.573	14.848	112.235	14.734	0.023	0.973	0.0
64	794.557	14.833	111.226	14.829	0.024	0.972	0.0
65	799.258	14.859	112.231	14.854	0.024	0.973	0.0
66	811.569	14.959	113.011	14.859	0.024	0.973	0.0
67	802.288	14.813	112.208	14.782	0.024	0.973	0.0
68	809.168	15.125	112.928	15.024	0.024	0.972	0.0
69	796.435	14.724	111.118	14.596	0.023	0.973	0.0
70	803.777	14.902	112.747	14.927	0.024	0.972	0.0
71	805.891	14.975	112.994	14.885	0.024	0.973	0.0
72	797.342	14.857	112.022	14.909	0.024	0.972	0.0
73	801.327	14.918	111.827	14.843	0.024	0.972	0.0
74	786.772	14.784	110.815	14.837	0.024	0.972	0.0
75	800.098	14.828	112.187	14.85	0.023	0.972	0.0
76	809.901	15.102	114.066	15.11	0.024	0.971	0.0
77	805.764	14.963	112.968	14.954	0.024	0.972	0.0
78	792.37	14.75	111.224	14.695	0.023	0.973	0.0
79	795.297	14.822	111.009	14.808	0.024	0.972	0.0
80	803.473	14.729	112.783	14.774	0.023	0.973	0.0
81	813.436	15.046	115.026	15.133	0.024	0.972	0.0
82	794.109	14.763	109.688	14.597	0.023	0.973	0.0
83	809.146	15.018	114.688	15.062	0.024	0.972	0.0
84	788.806	14.683	110.779	14.802	0.023	0.972	0.0
85	793.461	14.851	111.441	14.912	0.024	0.972	0.0
86	789.948	14.673	110.648	14.646	0.023	0.973	0.0
87	817.06	15.326	113.814	15.231	0.025	0.971	0.0
88	794.137	14.762	111.71	14.862	0.024	0.972	0.0
89	796.757	14.701	111.405	14.612	0.023	0.973	0.0
90	791.58	14.675	110.811	14.68	0.023	0.973	0.0
91	795.879	14.753	111.959	14.749	0.023	0.973	0.0
92	792.857	14.734	110.79	14.69	0.024	0.973	0.0
93	795.467	14.864	110.836	14.811	0.024	0.972	0.0
94	798.657	14.895	111.269	14.838	0.024	0.972	0.0
95	794.288	14.921	112.83	14.972	0.024	0.972	0.0
96	786.671	14.636	110.817	14.651	0.023	0.973	0.0
97	800.244	14.818	111.506	14.753	0.023	0.973	0.0
98	799.415	14.822	112.801	14.89	0.023	0.972	0.0
99	804.834	14.956	112.066	14.8	0.024	0.973	0.0
100	804.408	14.937	113.068	14.881	0.024	0.973	0.0
